ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,name
600809.SH,20230613,206.06,207.57,197.77,204.8,206.05,-1.25,-0.6066,102387.75,2076173.759,山西汾酒
600519.SH,20230613,1693.88,1704.61,1685.0,1699.0,1696.0,3.0,0.1769,14662.54,2485398.902,贵州茅台
002304.SZ,20230613,139.0,140.8,138.51,140.65,139.23,1.42,1.0199,38942.33,545043.913,洋河股份
000858.SZ,20230613,170.0,173.9,169.41,173.08,170.41,2.67,1.5668,182936.46,3156768.739,五粮液
000596.SZ,20230613,252.46,258.61,251.05,256.65,252.6,4.05,1.6033,14863.11,379645.093,古井贡酒
000568.SZ,20230613,216.5,223.46,216.0,220.9,217.2,3.7,1.7035,69723.64,1535348.388,泸州老窖
600809.SH,20230614,204.8,213.0,203.65,210.83,204.8,6.03,2.9443,114346.52,2400269.391,山西汾酒
600519.SH,20230614,1719.0,1734.24,1706.21,1726.88,1699.0,27.88,1.641,31505.8,5438040.356,贵州茅台
002304.SZ,20230614,141.2,144.87,141.2,142.42,140.65,1.77,1.2584,64607.02,926705.392,洋河股份
000858.SZ,20230614,174.8,179.35,172.66,177.68,173.08,4.6,2.6577,241015.42,4279986.457,五粮液
000596.SZ,20230614,256.65,269.88,256.65,267.57,256.65,10.92,4.2548,19890.82,529918.481,古井贡酒
000568.SZ,20230614,222.0,231.19,222.0,228.2,220.9,7.3,3.3047,108023.84,2465965.284,泸州老窖
600809.SH,20230615,211.64,219.86,210.0,219.57,210.83,8.74,4.1455,90953.84,1966541.471,山西汾酒
600519.SH,20230615,1730.34,1755.65,1723.0,1755.0,1726.88,28.12,1.6284,25222.57,4395900.802,贵州茅台
002304.SZ,20230615,143.98,144.88,142.28,144.5,142.42,2.08,1.4605,48127.4,692346.31,洋河股份
000858.SZ,20230615,179.21,182.82,178.0,182.0,177.68,4.32,2.4313,240450.09,4346343.723,五粮液
000596.SZ,20230615,267.49,270.2,265.22,267.61,267.57,0.04,0.0149,14943.46,400170.42,古井贡酒
000568.SZ,20230615,228.5,232.97,227.0,230.5,228.2,2.3,1.0079,86817.82,1997583.817,泸州老窖
600809.SH,20230616,219.97,222.2,218.01,219.97,219.57,0.4,0.1822,67179.94,1477782.931,山西汾酒
600519.SH,20230616,1757.0,1800.0,1750.1,1797.69,1755.0,42.69,2.4325,37917.89,6742301.361,贵州茅台
002304.SZ,20230616,145.0,145.67,143.6,145.15,144.5,0.65,0.4498,48881.97,707137.474,洋河股份
000858.SZ,20230616,182.6,185.6,181.5,184.08,182.0,2.08,1.1429,216313.8,3975777.954,五粮液
000596.SZ,20230616,268.0,270.99,265.1,267.9,267.61,0.29,0.1084,14145.61,378144.835,古井贡酒
000568.SZ,20230616,232.0,236.0,229.97,232.6,230.5,2.1,0.9111,63208.29,1469191.164,泸州老窖
600809.SH,20230619,219.97,221.0,214.2,215.03,219.97,-4.94,-2.2458,51349.58,1112438.19,山西汾酒
600519.SH,20230619,1790.0,1797.95,1738.0,1744.0,1797.69,-53.69,-2.9866,31699.92,5584248.725,贵州茅台
002304.SZ,20230619,144.9,145.5,141.98,142.8,145.15,-2.35,-1.619,49231.83,704630.043,洋河股份
000858.SZ,20230619,183.0,183.71,176.5,177.54,184.08,-6.54,-3.5528,242341.72,4330534.593,五粮液
